Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
4hRiR7QSvcLUrwdfMhxJvthzYrYAhKG3qGaXtocHcgNmU7kkAGAs5va9WVjPdi87qVYfDBfE3TK2fiaGKrkbRHpX,1701099940,2023-11-27T15:45:40.000Z,TRANSFER,4DRsU3KVhUezBxmxWmDpe8faE3B9EDApKuStU687Dbf2,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,1341320984,in,77.35,9,SOL,1.0
4SfJyub52La5qWnkkAf3gsJqKUYm32muL84qFPdGggudPgxZWmE5dbhH1BZ5fsM3f78vCxsff2htfEBHmeC9WA3h,1701092151,2023-11-27T13:35:51.000Z,TRANSFER,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,0,in,0,9,SOL,1.0
2smSwFEZ8EJ4fBoYuPay5qtZB2DMvXQr56KFsw5hVmTSCz6ahWi6zetWXJYs7Uq1ZqZo97sSzTgCq38noUi7tog8,1701092122,2023-11-27T13:35:22.000Z,TRANSFER,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,4DRsU3KVhUezBxmxWmDpe8faE3B9EDApKuStU687Dbf2,3308640221,out,190.79,9,SOL,1.0
59F9Nu7RACeJYGqZMPWTzpF3VMbR67nopwKoRGLNCn3NZsz5EkdLxkw9zSKZ61kG9Yi4tMhw76wJkEGAZKGdP9L8,1701050575,2023-11-27T02:02:55.000Z,TRANSFER,4DRsU3KVhUezBxmxWmDpe8faE3B9EDApKuStU687Dbf2,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,3308646821,in,190.79,9,SOL,1.0
4ogsbMnbRiTcNCJpS7KEZ8eivf5MH7sFbLzxvppbLXFSDcBDu9U67i7pUTRpp5xWFNuzQjpGQpiPqSmZVuw4Udba,1701047733,2023-11-27T01:15:33.000Z,TRANSFER,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,0,in,0,9,SOL,1.0
57NaqGHR9gyZuEiwkWoCDGmCcrH68GgCMQhJh7fp9mnorDJjn7pBhwj8az4ft1GFfBWH6GFLSXeTqDKJvV9r78ob,1701047705,2023-11-27T01:15:05.000Z,TRANSFER,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,4DRsU3KVhUezBxmxWmDpe8faE3B9EDApKuStU687Dbf2,5886397366,out,339.43,9,SOL,1.0
wstXFsJTQ34sYBSW9iMLPRKuw7Hyb97hzNWc5msefSHaD9sYzR4yzpPHJeeDUZNQzzoS8E5KouZEob8J6YvpWAe,1701047688,2023-11-27T01:14:48.000Z,TRANSFER,4xDsmeTWPNjgSVSS1VTfzFq3iHZhp77ffPkAmkZkdu71,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,2591420416,in,149.43,9,So11111111111111111111111111111111111111112,1.0
wstXFsJTQ34sYBSW9iMLPRKuw7Hyb97hzNWc5msefSHaD9sYzR4yzpPHJeeDUZNQzzoS8E5KouZEob8J6YvpWAe,1701047688,2023-11-27T01:14:48.000Z,TRANSFER,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,4xDsmeTWPNjgSVSS1VTfzFq3iHZhp77ffPkAmkZkdu71,150000000,out,149.97,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
wstXFsJTQ34sYBSW9iMLPRKuw7Hyb97hzNWc5msefSHaD9sYzR4yzpPHJeeDUZNQzzoS8E5KouZEob8J6YvpWAe,1701047688,2023-11-27T01:14:48.000Z,CREATE ACCOUNT,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,9oVSpMPkgh4UUPPwpG7gg7KTnEqTmxrb9dtdB4UyA7NG,2039280,out,0.1176,9,SOL,1.0
2GDK43UKHxuVeK5g51G9nEeEzN4AQKdzG5eQeuBbKzEw4rDa7MyDMo5cxwE2wVJjkugf1DKRwhAtyn4aBBfZyMra,1701047661,2023-11-27T01:14:21.000Z,TRANSFER,4DRsU3KVhUezBxmxWmDpe8faE3B9EDApKuStU687Dbf2,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,3294989110,in,190,9,SOL,1.0
